category,id,DeepSeek V3,DeepSeek R1,ChatGPT 4o,ChatGPT o1,Gemini 2.0 Flash,Gemini 2.5 Pro Experimental,Perplexity Sonar,Perplexity Sonar Pro,Claude 3.7 Sonnet,Claude 3.7 Sonnet Thinking,Grok 3,Grok 3 Thinking
Matematika,70,1,1,1,1,0,1,0,1,1,1,0,1
Matematika,71,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,72,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,73,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,74,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,75,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,76,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,77,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,78,0,1,0,1,0,1,0,0,0,1,1,1
Časové,79,1,1,1,1,1,1,1,1,1,1,1,1
Časové,80,1,1,0,1,1,1,1,1,1,1,1,1
Matematika,81,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,82,1,1,1,1,1,1,1,1,0,0,1,1
Matematika,83,1,1,0,1,1,1,0,1,1,1,1,1
Matematika,84,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,85,1,1,1,1,0,1,0,1,1,1,1,1
Chytáky,86,0,1,1,1,0,1,0,1,0,1,0,0
Matematika,87,1,1,1,1,1,1,0,1,1,1,0,1
Matematika,88,1,1,0,1,1,1,0,1,0,1,1,1
Matematika,89,0,1,1,1,1,1,0,1,1,1,1,1
Matematika,90,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,91,1,1,1,1,1,1,1,1,1,1,1,1
Chytáky,92,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,93,0,1,1,1,1,1,0,1,0,1,0,1
Matematika,94,1,1,0,1,0,1,1,1,0,1,1,1
Matematika,95,1,1,1,1,1,1,1,1,1,1,1,1
Časové,96,0,0,1,1,1,1,0,1,1,0,0,1
Matematika,97,1,1,1,1,1,1,0,1,1,1,1,1
Chytáky,98,1,1,1,1,1,1,1,1,1,1,1,1
Matematika,99,1,1,1,1,1,1,1,1,0,1,1,1
Matematika,100,1,1,1,1,1,1,1,1,1,1,1,1
