kategória,id,DeepSeek V3,DeepSeek R1,ChatGPT 4o,ChatGPT o1,Gemini 2.0 Flash,Gemini 2.5 Pro Experimental,Perplexity Sonar,Perplexity Sonar Pro,Claude 3.7 Sonnet,Claude 3.7 Sonnet Thinking,Grok 3,Grok 3 Thinking
sociálne,23,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,24,❌,✅,❌,✅,✅,✅,❌,❌,❌,✅,✅,✅
chytáky,25,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
priestorové,26,✅,✅,❌,✅,❌,✅,✅,✅,✅,✅,✅,✅
priestorové,27,✅,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅,✅
priestorové,28,❌,✅,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
chytáky,29,❌,❌,❌,✅,❌,❌,❌,❌,✅,❌,❌,❌
chytáky,30,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,31,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,32,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
priestorové,33,✅,✅,❌,✅,✅,✅,❌,❌,✅,✅,❌,✅
chytáky,34,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅,✅,✅
priestorové,35,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,36,✅,✅,❌,✅,❌,✅,✅,✅,❌,✅,❌,✅
chytáky,37,❌,✅,❌,✅,❌,✅,❌,❌,✅,✅,✅,✅
chytáky,38,❌,✅,❌,✅,❌,❌,❌,❌,✅,✅,❌,❌
chytáky,39,❌,✅,✅,❌,❌,✅,✅,✅,✅,✅,✅,✅
chytáky,40,❌,✅,✅,✅,✅,✅,✅,✅,❌,❌,❌,❌
priestorové,41,❌,❌,❌,✅,❌,❌,❌,❌,✅,✅,❌,❌
chytáky,42,✅,❌,✅,❌,✅,❌,✅,✅,✅,✅,❌,❌
chytáky,43,✅,❌,❌,❌,✅,✅,❌,❌,✅,✅,✅,✅
chytáky,44,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌
chytáky,45,❌,❌,❌,❌,❌,✅,❌,❌,❌,❌,❌,❌
matematika,46,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,47,❌,✅,✅,✅,❌,✅,❌,✅,❌,✅,❌,✅
priestorové,48,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,49,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,50,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,51,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,❌
časové,52,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,53,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
matematika,54,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
priestorové,55,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,56,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,57,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,58,❌,✅,❌,❌,❌,✅,❌,❌,❌,✅,❌,✅
matematika,59,✅,✅,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅
matematika,60,❌,✅,✅,✅,✅,✅,❌,✅,❌,✅,✅,✅
matematika,61,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,62,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,63,❌,❌,❌,❌,❌,❌,❌,❌,❌,✅,❌,✅
matematika,64,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,65,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
priestorové,66,✅,✅,❌,✅,✅,✅,❌,❌,❌,❌,✅,✅
matematika,67,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,68,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
časové,69,✅,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅,❌
matematika,70,✅,✅,✅,✅,❌,✅,❌,❌,✅,✅,❌,✅
matematika,71,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,72,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,73,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,74,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,75,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,76,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,77,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,78,❌,✅,❌,✅,❌,✅,❌,❌,❌,✅,✅,✅
časové,79,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
časové,80,✅,✅,❌,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,81,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,82,✅,✅,✅,✅,✅,✅,✅,✅,❌,✅,✅,✅
matematika,83,✅,✅,❌,✅,✅,✅,❌,❌,✅,✅,✅,✅
matematika,84,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,85,✅,✅,✅,✅,✅,✅,❌,❌,❌,✅,✅,✅
chytáky,86,❌,✅,✅,✅,❌,✅,❌,❌,❌,✅,❌,❌
matematika,87,✅,✅,✅,✅,✅,✅,❌,❌,✅,✅,❌,✅
matematika,88,✅,✅,❌,✅,✅,✅,❌,❌,❌,✅,✅,✅
matematika,89,❌,✅,✅,✅,✅,✅,❌,❌,✅,✅,✅,✅
matematika,90,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,91,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
chytáky,92,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,93,❌,✅,✅,✅,✅,✅,❌,❌,❌,✅,❌,✅
matematika,94,✅,✅,❌,✅,❌,✅,❌,❌,❌,✅,✅,✅
matematika,95,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
časové,96,❌,❌,✅,✅,✅,✅,❌,❌,✅,✅,❌,✅
matematika,97,✅,✅,✅,✅,✅,✅,❌,❌,❌,✅,✅,✅
chytáky,98,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
matematika,99,✅,✅,✅,✅,✅,✅,✅,✅,❌,❌,✅,✅
matematika,100,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅
,,,,,,,,,,,,,
